num_moves_to_randomize,num_moves_to_solve,num_nodes_created_to_solve,num_nodes_visited_to_solve,wall_time_to_solve,solve_sequence
14,10,674575764,674575678,128780,Front-C;Left-C;Up-C;Back-CC;Up-C;Front-C;Down-CC;Front-C;Right-CC;Down-CC;
15,7,2298621,2298569,437,Down-CC;Right-CC;Down-CC;Left-C;Up-C;Back-CC;Down-CC;
15,7,1383285,1383230,264,Left-C;Down-CC;Right-CC;Down-CC;Front-C;Down-CC;Left-C;
15,11,9172663849,9172663748,1798290,Front-C;Up-C;Front-C;Left-C;Back-CC;Left-C;Back-CC;Up-C;Back-CC;Down-CC;Front-C;
15,9,136222559,136222483,26775,Left-C;Back-CC;Right-CC;Up-C;Right-CC;Up-C;Front-C;Down-CC;Back-CC;
15,9,96970463,96970384,18858,Front-C;Up-C;Back-CC;Right-CC;Up-C;Right-CC;Down-CC;Front-C;Front-C;
15,7,460329,460261,90,Front-C;Left-C;Front-C;Up-C;Front-C;Front-C;Right-CC;
15,9,64849031,64848955,12682,Front-C;Up-C;Left-C;Down-CC;Front-C;Up-C;Up-C;Front-C;Up-C;
15,11,20642006233,20642006130,4099879,Left-C;Back-CC;Left-C;Left-C;Front-C;Right-CC;Down-CC;Back-CC;Left-C;Front-C;Front-C;
15,3,209,185,0,Right-CC;Back-CC;Down-CC;
15,9,204398027,204397948,39838,Right-CC;Front-C;Right-CC;Up-C;Back-CC;Right-CC;Up-C;Front-C;Left-C;
16,10,2851080144,2851080060,562740,Up-C;Back-CC;Left-C;Back-CC;Left-C;Left-C;Down-CC;Back-CC;Down-CC;Right-CC;
16,8,23327794,23327732,4611,Down-CC;Right-CC;Up-C;Left-C;Back-CC;Down-CC;Left-C;Up-C;
16,12,92936581022,92936580906,23559761,Front-C;Front-C;Left-C;Front-C;Left-C;Back-CC;Up-C;Right-CC;Front-C;Front-C;Up-C;Front-C;
16,10,805279404,805279312,160204,Front-C;Right-CC;Back-CC;Left-C;Back-CC;Up-C;Right-CC;Back-CC;Right-CC;Front-C;
16,10,1599174744,1599174655,322545,Left-C;Left-C;Front-C;Down-CC;Left-C;Back-CC;Left-C;Left-C;Up-C;Back-CC;
16,10,1712322288,1712322197,345226,Left-C;Left-C;Back-CC;Right-CC;Front-C;Up-C;Front-C;Front-C;Right-CC;Up-C;
